1,Анкудинов ЯК,2024-06-14 19:00:00,Автор текста (ФИО) ставит проблему (чего?)
2,Вопрос ЕС,2024-06-14 19:00:00,Автор текста (ФИО) размышляет над проблемой (чего?)
3,Текста АМ,2024-06-14 19:00:00,Автор текста (ФИО) предлагает своим читателям задуматься над проблемой (чего)
4,Мною ЬХ,2024-06-14 19:00:00,В центре внимания автора текста (ФИО) проблема (чего?)
5,Вес АХ,2024-06-14 19:00:00,Проблемный вопрос. Этой проблеме посвящен текст автора (ФИО)
6,Место ВУ,2024-06-14 19:00:00,Именно эта проблема привлекла внимание автора текста (ФИО)
7,ХАХАХ ХА,2024-06-14 19:00:00,Подводка к проблеме. В предложенном для анализа тексте ФИО ставит проблему (чего?)
8,ААААА БВ,2024-06-14 19:00:00,В качестве примера автор рассматривает
9,НЕТ ДА,2024-06-14 19:00:00,Проблема раскрывается автором на примере
10,3 QT,2023-12-15 15:15:00,AXAXAXAXXAXAAXAXAXXAXAXAXAXAAXAXAXAXAX
11,4 QY,2023-12-15 15:15:00,HAHAHAHAHHAHAHAH
12,ABCD,2027-01-01 15:11:00,T
